what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1275617393095
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1275617416079
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1275617511312
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1275617513085
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1275617513124
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275617516256
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275617603222
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1275617611115
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1275617611455
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1275617611716
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275617613463
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275617618509
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1275617618530
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275617619881
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275618783390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275618791170
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275618943583
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275618944786
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1275618953817
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1275618953941
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1275618954722
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1275618954804
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1275618954981
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1275618955053
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1275618955516
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1275618955558
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1275618956370
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1275618956383
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1275618956735
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1275618957058
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1275618957101
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1275618957139
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1275618957160
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1275618957243
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1275618957254
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1275618957351
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1275618957419
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1275618957457
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1275618957737
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1275618957898
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275618963977
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275618970822
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275618971210
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275618972710
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619014991
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619035665
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619037088
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1275619064015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619134859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619136293
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1275619186187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619188413
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619192318
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275619215412
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1275619216740
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1275619216779
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1275619264252
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619266735
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619275312
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275619279267
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619281330
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619288944
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1275619338159
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1275619350499
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619352037
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619416351
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1275619421339
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619422000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619422264
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619422371
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619422659
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619422729
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619423265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619423410
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619507979
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619510381
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619659050
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619665929
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619670389
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619697752
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619698806
